name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
CoRoT-15 b,Confirmed,63.4,4.2,4.4,63.3,4.1,4.1,1.12,0.15,0.3,3.06036,3e-05,3e-05,0.045,0.01,0.014,0.0,,,86.7,3.2,2.3,,2010,2024-09-09,,,,,,,,,,2454753.5608,0.0011,0.0011,,,,,,,0.38,0.26,0.26,,,,7.36,0.11,0.11,1740.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,CoRoT 221686194 b,,CoRoT-15,97.116666676,6.18624167266,15.92,,,,,1270.0,300.0,300.0,0.1,0.2,0.2,1.32,0.12,0.12,1.46,0.14,0.13,F7V,1.9,1.7,1.7,6350.0,200.0,200.0,,,"CoRoT 221686194, 2MASS J06282781+0611105"
CoRoT-16 b,Confirmed,0.535,0.085,0.085,,,,1.17,0.14,0.14,5.35227,0.0002,0.0002,0.0618,0.0015,0.0015,0.33,0.1,0.1,85.01,1.2,1.2,7.4e-05,2010,2014-01-24,168.41,21.0,21.0,,,,,,,2454923.9138,0.0022,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-16,278.525,-6.0025,15.64,,,,,840.0,90.0,90.0,0.19,0.06,0.06,1.098,0.078,0.078,1.19,0.14,0.14,G5V,6.73,2.8,2.8,5650.0,100.0,100.0,,,
CoRoT-17 b,Confirmed,2.43,0.16,0.16,,,,1.02,0.07,0.07,3.768125,0.000257,0.000257,0.0461,0.0008,0.0008,0.0,,,88.34,1.54,1.54,5e-05,2010,2014-01-24,,,,,,,,,,2454923.3093,0.003613,0.003613,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-17,278.6958333,-6.6122222,15.46,,,,,920.0,50.0,50.0,0.0,0.1,0.1,1.04,0.1,0.1,1.59,0.07,0.07,G2V,10.7,1.0,1.0,5740.0,80.0,80.0,,,
CoRoT-18 b,Confirmed,3.47,0.38,0.38,,,,1.31,0.18,0.18,1.90009057,4.4e-07,4.4e-07,0.0295,0.0016,0.0016,0.08,,,86.5,0.9,0.9,3.4e-05,2011,2021-12-21,,,,,,,,,,2455321.72412,0.00018,0.00018,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-18,98.17240694553256,-0.0315904566423555,14.99,,,,,870.0,90.0,90.0,-0.1,0.1,0.1,0.95,0.15,0.15,1.0,0.13,0.13,G9V,,,,5440.0,100.0,100.0,,,
CoRoT-19 b,Confirmed,1.11,0.06,0.06,,,,1.29,0.05,0.05,3.8971372,2.1e-06,2.1e-06,0.0518,0.0008,0.0008,0.047,0.045,0.045,87.61,0.37,0.37,6.5e-05,2011,2021-12-21,86.0,60.0,60.0,,,,,,,2455257.44102,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-19,97.03357783914623,-0.17070356670284811,14.78,,,,,800.0,200.0,200.0,-0.02,0.1,0.1,1.21,0.06,0.06,1.65,0.04,0.04,F9V,5.0,1.0,1.0,6090.0,70.0,70.0,,,
CoRoT-1 b,Confirmed,1.03,0.12,0.12,,,,1.49,0.08,0.08,1.50896848,1.1e-07,1.1e-07,0.0254,0.0004,0.0004,0.0,,,83.96,0.18,0.18,5.5e-05,2007,2021-12-21,,,,,,,,,,2454159.4532,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-1,102.0791667,-3.1022222,13.6,,,,,460.0,100.0,100.0,0.06,0.07,0.07,0.95,0.15,0.15,1.11,0.05,0.05,G0V,,,,6298.0,66.0,66.0,,,
CoRoT-20 b,Confirmed,4.24,0.23,0.23,,,,0.84,0.04,0.04,9.2431839,7.2e-06,7.2e-06,0.0902,0.0021,0.0021,0.562,0.013,0.013,88.21,0.53,0.53,7.3e-05,2011,2021-12-21,56.3,2.4,2.4,,,,,,,2455266.0001,0.0014,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-20,97.730434,0.22692,14.66,,,,,1230.0,120.0,120.0,0.14,0.12,0.12,1.14,0.08,0.08,0.92,,,G2V,0.1,0.04,0.04,5880.0,90.0,90.0,,,
CoRoT-21 b,Confirmed,2.26,0.31,0.31,,,,1.3,0.14,0.14,2.72474,0.00014,0.00014,0.0417,0.0011,0.0011,0.0,,,86.8,2.1,2.1,,2011,2014-01-24,,,,,,,,,,2454399.0282,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-21,101.05245,-0.29913,16.0,,14.34,13.98,13.81,1400.0,,,0.0,0.1,0.1,1.29,0.09,0.09,1.95,0.21,0.21,F8IV,4.1,0.5,0.5,6200.0,100.0,100.0,,,
CoRoT-22 b,Confirmed,0.06,0.0214,0.0941,,,,0.4354,0.0348,0.0152,9.75598,0.00011,0.00011,0.092,0.0014,0.0014,0.077,0.042,0.3,89.749,0.9,0.032,0.000149,2011,2024-08-06,210.0,30.0,70.0,,,,,,,2454598.42014,0.00051,0.00099,,,,,,,,,,,,,,,,885.0,,,,,,,,,Announced on a professional conference,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-22,280.66666668,6.225000011,11.93,,,,,592.0,42.0,25.0,0.17,0.12,0.07,1.099,0.049,0.049,1.136,0.09,0.038,G0V,3.3,2.0,2.0,5939.0,120.0,54.0,,,
CoRoT-23 b,Confirmed,2.8,0.25,0.25,,,,1.08,0.13,0.13,3.6314,0.0001,0.0001,0.0477,0.0038,0.0038,0.16,0.017,0.017,85.7,1.5,1.5,8e-05,2011,2025-01-30,51.8,9.0,9.0,,,,,,,2455308.93732,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-23,279.782615,4.3578,15.63,,,,,600.0,50.0,50.0,0.05,0.1,0.1,1.14,0.08,0.08,1.61,0.18,0.18,G0V,7.2,1.0,1.0,5900.0,100.0,100.0,,,
CoRoT-24 b,Confirmed,0.018,0.01799,0.0,,,,0.33,0.04,0.04,5.1134,0.0006,0.0006,0.056,0.002,0.002,0.0,,,86.5,2.0,2.0,9.3e-05,2011,2025-02-19,,,,,,,,,,2454789.611,0.006,0.006,,,,,,,,,,,,,,,,1070.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-24,101.925000014,-3.719444461,,14.3,,,,600.0,70.0,70.0,0.3,0.25,0.25,0.91,0.09,0.09,0.86,0.09,0.09,K1V,11.0,,,4950.0,150.0,150.0,,,
CoRoT-24 c,Confirmed,0.088,0.035,0.035,,,,0.44,0.04,0.04,11.759,0.0063,0.0063,0.098,0.003,0.003,0.0,,,89.0,1.0,1.6,0.000163,2011,2019-06-13,,,,,,,,,,2454795.3803,0.0265,0.0265,,,,,,,,,,,,,,,,850.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-24,101.925000014,-3.719444461,,14.3,,,,600.0,70.0,70.0,0.3,0.25,0.25,0.91,0.09,0.09,0.86,0.09,0.09,K1V,11.0,,,4950.0,150.0,150.0,,,
CoRoT-25 b,Confirmed,0.27,0.04,0.04,,,,1.08,0.1,0.3,4.86069,6e-05,6e-05,0.0578,0.0029,0.0029,,,,84.5,0.8,0.3,,2012,2014-05-21,,,,,,,,,,2454577.4307,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-25,280.6292,6.5139,15.0,,,,,1000.0,85.0,25.0,-0.01,0.13,0.13,1.09,0.05,0.11,1.19,0.03,0.14,G0V,5.2,1.3,1.3,6040.0,90.0,90.0,,,
CoRoT-26 b,Confirmed,0.52,0.05,0.05,,,,1.26,0.07,0.13,4.20474,5e-05,5e-05,0.0526,0.001,0.001,0.0,,,86.8,1.0,2.2,,2012,2014-05-27,,,,,,,,,,2454574.6811,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-26,279.75,6.97,15.76,,,,,1670.0,205.0,110.0,0.01,0.13,0.13,1.09,0.06,0.06,1.79,0.09,0.18,G8IV,8.6,1.8,0.9,5590.0,100.0,100.0,,,
CoRoT-27 b,Confirmed,10.39,0.55,0.55,,,,1.007,0.044,0.044,3.57532,6e-05,6e-05,0.0476,0.0066,0.0066,0.065,0.065,0.0,86.7,0.87,1.2,,2012,2014-07-10,,,,,,,,,,2455748.684,0.001,0.001,,,,,,,,,,,,,,,,1500.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-27,278.4958,5.5386,15.54,,,,,,,,0.1,0.1,0.1,1.05,0.11,0.11,1.08,0.06,0.18,G2,4.21,2.72,2.72,5900.0,120.0,120.0,,,
CoRoT-29 b,Confirmed,0.85,0.2,0.2,0.85,0.2,0.2,0.9,0.16,0.16,2.85057,6e-06,6e-06,0.039,0.002,0.002,0.082,0.081,0.081,87.3,2.7,2.7,,2012,2015-04-27,87.0,210.0,49.0,,,,,,,2455753.115,0.001,0.001,,,,,,,0.43,0.44,0.44,,,,125.0,17.0,17.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-29,278.9042,6.4797,15.35,,,,,765.0,50.0,50.0,0.2,0.1,0.1,0.976,0.14,0.14,0.9,0.12,0.12,K0V C,4.5,3.5,3.5,5260.0,100.0,100.0,,,
CoRoT-2 Ab,Confirmed,3.31,0.16,0.16,,,,1.465,0.029,0.029,1.7429964,1.7e-06,1.7e-06,0.0281,0.0009,0.0009,0.0,,,87.84,0.1,0.1,9.4e-05,2007,2024-08-03,,,,,,,,,,2454706.4041,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,TOI-5796.01,,CoRoT-2 A,291.7791667,1.3838889,12.57,,,,,213.283,2.4575,2.4575,-0.04,0.1,0.1,0.972,0.118,0.118,0.938,0.0946,0.0946,G5V,0.128,,,5529.0,105.517,105.517,,,"GSC 00465-01282, TOI-5796, 2MASS J19270649+0123013"
CoRoT-30 b,Confirmed,2.9,0.22,0.22,,,,1.009,0.076,0.076,9.06005,0.00024,0.00024,0.0844,0.0012,0.0012,0.007,0.031,0.031,90.0,0.56,0.56,,2017,2019-09-02,178.1,100.0,100.0,,,,,,,2455665.5146,0.0012,0.0012,,,,,,,0.0,0.16,0.16,,,,283.0,20.0,20.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-30,277.600000008,6.835833352,15.65,,,,,960.0,40.0,68.0,0.02,0.1,0.1,0.98,0.05,0.03,0.91,0.03,0.09,G3V,3.0,2.4,3.7,5660.0,90.0,10.0,,,
CoRoT-31 b,Confirmed,0.84,0.34,0.34,,,,1.46,0.3,0.3,4.62941,0.00075,0.00075,0.0586,0.0034,0.0034,0.02,0.16,0.16,83.2,2.3,2.3,,2017,2019-09-02,303.6,107.9,107.9,,,,,,,2455843.9445,0.0044,0.0044,,,,,,,0.87,0.27,0.27,,,,88.0,35.0,35.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-31,94.820833339,-4.422222235,15.7,,,,,2190.0,710.0,710.0,0.0,0.1,0.1,1.25,0.22,0.22,2.15,0.6,0.56,G2IV,4.7,2.2,4.7,5370.0,126.0,99.0,,,
CoRoT-32 b,Confirmed,0.15,0.1,0.1,,,,0.57,0.06,0.06,6.71837,1e-05,1e-05,0.071,0.001,0.001,,,,89.0,0.5,0.5,,2017,2017-09-13,,,,,,,,,,2455901.811,0.002,0.002,,,,,,,,,,,,,,,,938.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-32,100.195833349,9.257500011,14.0,,,,,,,,0.0,0.2,0.2,1.09,0.08,0.08,0.79,0.09,0.09,G0VI,,,,5970.0,100.0,100.0,,,CoRoT-223977153
CoRoT-33 b,Confirmed,59.2,1.8,1.8,59.0,1.8,1.8,1.1,0.53,0.53,5.819143,1.8e-05,1.8e-05,0.0579,,,0.07,0.0016,0.0016,85.5,0.5,0.5,,2015,2015-08-25,179.3,0.87,0.87,,,,,,,2456676.3992,0.0037,0.0037,,,,,,,1.04,0.06,0.06,,,,7061.0,9.0,9.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-33,279.641666678,5.624722241,14.7,,,,,,,,0.44,0.1,0.1,0.86,0.004,0.004,0.94,0.008,0.14,G9V,4.6,0.0,5.0,5225.0,80.0,80.0,,,"2MASS 18383391 + 0537287, USNO-A2 0900-13338694"
CoRoT-35 b,Confirmed,1.1,0.37,0.37,,,,1.68,0.11,0.11,3.22748,8e-05,8e-05,0.0429,0.00092,0.00092,0.0,,,84.1,0.1,0.1,,2022,2022-07-19,,,,,,,,,,,,,2456074.2415,0.0018,0.0018,,,,,,,,,,150.0,50.0,50.0,1747.0,62.0,62.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-35,289.312500005,-2.774722244,15.7,,,,,1140.0,40.0,50.0,-0.5,0.1,0.1,1.01,0.07,0.07,1.65,0.1,0.1,F3V,6.1,1.3,1.3,6390.0,130.0,130.0,,,
CoRoT-36 b,Confirmed,0.68,0.68,0.47,,,,1.41,0.14,0.14,5.616531,2.3e-05,2.3e-05,0.066,0.007,0.007,0.0,,,85.83,0.26,0.26,,2022,2022-07-19,,,,,,,,,,2455662.5236,0.00034,0.00034,,,,,,,,,,,,,65.0,45.0,45.0,1567.0,35.0,35.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-36,277.75,7.183611115,13.1,,,,,954.0,18.0,18.0,-0.1,0.1,0.1,1.32,0.09,0.09,1.52,0.1,0.2,,2.1,0.2,0.6,6730.0,140.0,140.0,,,
CoRoT-3 b,Confirmed,21.66,1.0,1.0,,,,1.19,0.1,0.1,4.2567994,5e-06,5e-06,0.057,0.003,0.003,0.0,,,85.9,0.8,0.8,8.4e-05,2008,2025-12-04,,,,,,,,,,2454283.1383,0.0003,0.0003,,,,37.6,22.0,10.0,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Theoretical,,,CoRoT-3,292.0541667,0.1219444,13.3,,,,,768.771,29.668,29.668,0.14,0.04,0.04,1.36,0.223,0.223,1.525,0.088,0.088,F3V,2.0,0.4,0.4,6558.0,104.178,104.178,,,"GSC 00465-01645, USNO-A2 0900-15209129, 2MASS J19281326+0007185"
CoRoT-4 b,Confirmed,0.72,0.08,0.08,,,,1.19,0.05,0.05,9.20166201,4e-06,4e-06,0.09,0.001,0.001,0.0,0.0,0.0,90.0,0.085,0.085,,2008,2021-12-21,,,,,,,,,,2454141.36416,0.00089,0.00089,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-4,102.1958333,-0.6727778,13.7,,,,,,,,0.05,0.07,0.07,1.1,0.02,0.02,1.15,0.03,0.03,F8V,1.0,0.3,0.3,6190.0,60.0,60.0,,,
CoRoT-5 b,Confirmed,0.467,0.024,0.047,,,,1.33,0.047,0.047,4.0379148,1.1e-06,1.1e-06,0.04947,0.00029,0.00029,0.09,0.04,0.04,85.83,1.38,1.38,0.000124,2008,2021-12-21,231.7,48.0,48.0,,,,,,,2454400.19885,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-5,101.2791667,0.8152778,14.0,,,,,400.0,0.0,0.0,-0.25,0.06,0.06,1.0,0.02,0.02,1.186,0.04,0.04,F9V,6.9,1.4,1.4,6100.0,65.0,65.0,,,
CoRoT-6 b,Confirmed,2.96,0.34,0.34,,,,1.166,0.035,0.035,8.886593,4e-06,4e-06,0.0855,0.0015,0.0015,0.1,0.1,0.0,89.07,0.3,0.3,,2009,2025-02-19,,,,2454595.6144,0.0002,0.0002,,,,2454702.2556,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-6,281.075,6.6633333,13.9,,,,,,,,-0.2,0.1,0.1,1.055,0.055,0.055,1.025,0.026,0.026,F9V,,,,6090.0,70.0,70.0,,,
CoRoT-7 Ab,Confirmed,0.01907,0.00205,0.00205,,,,0.136,,,0.8535,6e-07,6e-07,0.0172,0.00029,0.00029,0.12,0.07,0.07,80.1,0.3,0.3,0.000115,2009,2025-11-24,,,,,,,,,,2454398.0767,0.0015,0.0015,,,,,,,,,,,,,4.291,0.46,0.46,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-7 A,100.9541667,-1.0627778,11.7,,,,,150.0,20.0,20.0,0.03,0.07,0.07,0.93,0.03,0.03,0.87,0.04,0.04,K0V,1.5,0.3,0.3,5313.0,73.0,73.0,,,"GSC 04799-01733, 2MASS J06434947-0103468"
CoRoT-8 b,Confirmed,0.2158,0.034,0.034,,,,0.5692,0.0196,0.0196,6.21229,3e-05,3e-05,0.063,0.001,0.001,0.0,,,88.4,0.1,0.1,0.000166,2010,2025-11-24,,,,,,,,,,2454238.9743,0.0004,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,CoRoT-8,291.5875,1.4266667,14.8,,,,,380.0,100.0,100.0,0.3,0.1,0.1,0.88,0.04,0.04,0.77,0.02,0.02,K1V,3.0,2.99,0.0,5080.0,80.0,80.0,,,
CoRoT-9 Ab,Confirmed,0.84,0.07,0.07,,,,0.94,0.04,0.04,95.273804,0.0014,0.0014,0.407,0.005,0.005,0.133,0.037,0.042,89.9,,,0.000885,2010,2024-08-03,37.0,37.0,37.0,,,,,,,2454603.3447,0.0001,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-9 A,280.7875,6.2041667,13.7,,,,,460.0,,,-0.01,0.006,0.006,0.99,0.04,0.04,0.94,0.04,0.04,G3V,4.0,3.0,3.0,5625.0,80.0,80.0,,,
CP Eri b,Confirmed,35.0,,,19.0,,,0.54,,,0.01968,,,0.001246,,,,,,56.0,23.0,24.0,,1992,2024-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Timing, Other",,,,,CP Eri,47.63653241204,-9.75171623049,17.8,,,,,804.0,,,-1.3,,,0.75,,,0.0146,,,DBAZ,,,,17000.0,1000.0,1000.0,,,PHL 1457
CR Boo b,Confirmed,67.0,23.0,23.0,23.0,,,0.512,,,0.017025462,,,0.00123,,,,,,30.0,,,,1988,2025-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,Theoretical,PG 1346+082 b,,CR Boo,207.23009113239,7.9599233663,15.0,,,,,337.0,,,,,,0.8,0.1,0.3,0.012,,,DA,,,,20000.0,5000.0,5000.0,,,PG 1346+082
CT Cha b,Confirmed,17.0,6.0,6.0,,,,2.2,0.6,0.6,,,,440.0,,,,,,,,,2.666667,2008,2008-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CT Cha,166.0375,-76.4552778,12.36,,,,,165.0,30.0,30.0,,,,,,,,,,K7,0.002,0.002,0.002,,,,,,
DH Tau b,Confirmed,12.0,4.0,4.0,,,,2.6,0.6,0.6,2722900.0,1752000.0,1168000.0,330.0,160.0,89.0,0.49,0.49,0.19,79.9,40.0,38.0,2.17,2005,2025-08-16,99.0,46.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,2050.0,100.0,120.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,"HAT 6 Bb, ITO 13 Bb","13CO, CO, H2O",DH Tau,67.425,26.5494444,13.2,,,,,134.85,1.27,1.27,,,,0.41,,,1.26,,,M2.3V,0.0007,0.0001,0.0003,3600.0,150.0,150.0,IR Excess,,"HAT 6 B, ITO 13 B, HBC 38 b"
DI UMa b,Confirmed,51.0,11.0,11.0,,,,1.05,0.08,0.08,0.05529,,,0.0026,,,,,,,,,,1999,2025-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,,,,DI UMa,138.06747221463,50.8983213707,,,15.532,15.262,15.126,800.0,,,,,,0.7,,,0.01,,,DA,,,,,,,,,
DS Tuc Ab,Confirmed,0.0453,0.0453,0.0,,,,0.5085,0.0152,0.0152,8.138268,1e-05,1e-05,0.0795,0.003,0.003,,,,88.73,0.18,0.18,,2019,2024-08-04,,,,,,,,,,2458832.30997,0.00026,0.00026,,,,12.1,2.1,2.6,0.4,0.08,0.07,,,,3.2,2.2,1.4,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"HD 222259 Ab, TOI-200 b, TOI-200 Ab",,DS Tuc A,354.91666668,-69.195833347,9.0,,,,,44.12,0.06,0.06,-0.08,0.06,0.06,0.959,0.031,0.031,0.872,0.027,0.027,G6V,0.04,5.0,5.0,5597.0,59.0,28.0,,,"HD 222259 A, TOI-200"
EG Cnc b,Confirmed,31.0,0.07,0.07,20.0,,,0.95,0.07,0.07,0.05994,0.00013,0.00013,0.00268,,,,,,,,,,1998,2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,71000.0,16000.0,16000.0,,,,,,,,,,Published in a refereed paper,Timing,,,,,EG Cnc,130.7666096694,27.86380377653,18.0,,,,,320.0,,,,,,0.7,,,0.01,,,DA,,,,15000.0,,,,,SDSS J084303.99+275149.7
eps Ind Bb,Confirmed,53.25,0.29,0.29,,,,0.825,0.005,0.005,4022.19,2.774,2.774,2.4057,0.004,0.004,0.54,0.00063,0.00063,77.082,0.032,0.032,0.66158,2003,2024-07-24,328.27,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,993.0,,,,,,Published in a refereed paper,"Imaging, Astrometry",Astrometry,Theoretical,"eps Ind C, GJ 845 C, GJ 845 Bb, SOZ 1 C",,eps Ind B,331.0441666666667,-56.782833333333336,24.1,15.6,11.9,11.3,11.2,3.63857,0.00333,0.00333,,,,0.066,0.00036,0.00036,0.0805,0.0005,0.0005,T1V,3.5,1.0,0.8,1368.0,17.0,16.0,,,"CI Ind, GJ 845 B, SOZ 1 B"
eta CrB (AB)b,Confirmed,44.0,6.46,6.46,,,,0.97,0.11,0.11,,,,3600.0,,,,,,,,,193.6,2001,2025-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295.0,76.0,76.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"eta CrB C, GJ 584 C, 2MASSW J1523226+301456",,eta CrB,230.80127229166666,30.287825027777778,4.98,4.22,4.052,3.701,3.714,18.62197,,,0.0577,0.0196,0.0196,1.19,0.071,0.071,1.24614,,,G0V,1.75,0.75,0.75,6028.7,,,,,"2 CrB, GJ 584, STF 1937, KIR 4"
eta Tel b,Confirmed,29.0,13.0,16.0,,,,2.28,0.03,0.03,804000.0,143000178000.0,143000178000.0,218.0,41.0,180.0,0.34,0.26,0.26,81.9,3.5,3.5,,2000,2024-08-23,159.0,99.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2830.0,,,,,4.3,Published in a refereed paper,Imaging,Spectrum,Flux,HR 7329 b,,eta Tel,290.7133333333333,-54.42391666666667,5.0,,,,,49.54,0.25,0.25,,,,2.09,0.03,0.03,1.617,0.0425,0.0425,A0V,0.023,,,9760.0,136.055,136.055,IR Excess,,
EZ Lyn b,Confirmed,42.0,14.0,14.0,,,,1.02,,,0.059,,,0.00274,,,,,,79.0,,,,2008,2025-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,,,,,,,,,Published in a refereed paper,Timing,Timing,,SDSS J080434.20+510349.2 b,,EZ Lyn,120.20579303508958,51.20628328777694,,,,,,142.8,,,,,,0.85,0.1,0.1,0.00945,0.002,0.0023,DA,,,,11250.0,1250.0,3750.0,,,"SDSS J080434.20+510349.2, SDSS J0804+5103"
FU Tau b,Confirmed,19.0,4.0,4.0,,,,3.2,0.3,0.3,,,,719.0,,,,,,,,,5.714286,2009,2024-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2375.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,"CAHA Tau 6, MTZ 2 b",,FU Tau,65.8958333,25.0508333,,,,9.95,,126.4,1.0,1.0,,,,0.14,0.03,0.03,1.4,0.1,0.1,M7.25,0.001,,,2838.0,,,,,MTZ 2
G 9-40 b,Confirmed,0.013,0.00198,0.00198,,,,0.17,0.0058,0.0058,5.7459982,2e-06,2e-06,0.0418,0.00064,0.00064,0.0,,,89.03,0.1,0.1,,2019,2022-08-16,,,,,,,2458497.77747,0.00033,0.00032,2459503.32682,0.00042,0.00042,2458500.65047,0.00033,0.00033,,,,0.513,0.042,0.042,,,,3.22,0.49,0.49,440.6,7.6,7.6,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J08585232+2104344 b, EPIC 212048748 b, EPIC 212048748.01, K2-313 b, LSPM J0858+2104 b, TIC 203214081 b, WISE J085852.46+210430.8 b",,G 9-40,134.718109,21.076048,13.8,,10.058,9.433,,27.93,0.04,0.04,0.04,0.11,0.1,0.29,0.02,0.02,0.31,0.01,0.01,M2.5 V,9.9,4.1,2.6,3348.0,32.0,32.0,,,"2MASS J08585232+2104344, EPIC 212048748, K2-313, LSPM J0858+2104, TIC 203214081, WISE J085852.46+210430.8"
Gaia14aae b,Confirmed,25.3,0.7,0.7,,,,0.603,0.003,0.003,0.0345,,,,,,,,,86.27,0.1,0.1,,2018,2022-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,Gaia14aae,242.891666678,63.142222232,18.0,,,,,258.0,10.0,10.0,,,,,,,,,,,,,,,,,,,
